"SMILES","ID","clogP"
"[H]N(C(=O)C1=C(N(N=N1)C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])C([H])([H])C([H])([H])[H])C1=C([H])C(F)=C([H])C([H])=C1[H]",9116943,3.89
"[H]N(C(=O)C([H])([H])[H])C1=C(C([H])=C([H])C(=C1[H])C1=NN(C(=O)C([H])=C1[H])C([H])([H])C(=O)N1C2=C(C([H])=C([H])C([H])=C2[H])C([H])([H])C1([H])[H])C([H])([H])C([H])([H])[H]",9138803,0.8160000000000002
"[H]N(C(=O)C1([H])C([H])([H])C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])C1([H])[H])C1=NN=C(S1)C([H])([H])C([H])([H])C([H])([H])[H]",9189853,-0.255
"[H]N([H])C1=[NH+]C(=O)C([H])(S1)C([H])([H])C1([H])C(=O)OC([H])(C([H])([H])OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C1([H])[H]",9198667,0.484
"[H]N(C(=O)C1=C(OC([H])([H])[H])C(OC([H])([H])[H])=C([H])C([H])=C1[H])C1=C([H])C([H])=C(N([H])C2=NN=C(C([H])=C2[H])C([H])([H])[H])C([H])=C1[H]",9250705,1.28
"[H]N([H])C1=C(C([H])=NN1C1=C2C([H])=NN(C2=NC([H])=N1)C1=C([H])C([H])=C(F)C([H])=C1[H])C(=O)OC([H])([H])C([H])([H])[H]",9264049,3.586
"[H]C1=C([H])C(=C([H])C(=C1[H])C(=O)N1C([H])([H])C([H])([H])[NH+](C([H])([H])[H])C([H])([H])C1([H])[H])S(=O)(=O)N1C([H])([H])C([H])([H])[NH+](C([H])([H])[H])C([H])([H])C1([H])[H]",9268053,1.051
"[H]N(C(=O)C1=C([H])C([H])=C(OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])=C1[H])C1=C(C([H])=C([H])C([H])=C1[H])N1C([H])([H])C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])C1([H])[H]",9271551,2.293
"[H]C1=C([H])C([H])=C(C([H])=C1[H])N1C([H])([H])C([H])([H])N(C(=O)C2=C([H])C([H])=C([H])C(=C2[H])S(=O)(=O)N2C([H])([H])C([H])([H])[NH+](C([H])([H])[H])C([H])([H])C2([H])[H])C([H])([H])C1([H])[H]",9271897,1.783
"[H]N(C(=O)C1=NC2=C(Cl)C([H])=C([H])C([H])=C2C([H])=C1[H])C([H])([H])C([H])(N1N=C(C([H])=C1C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]",11227896,2.91
"[H]OC1(C([H])([H])N([H])C(=O)C2=C(OC3([H])C([H])([H])C([H])([H])N(C([H])([H])C3([H])[H])S(=O)(=O)C([H])([H])[H])C([H])=C([H])C([H])=C2[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]",11992075,1.71
"[H]C([H])([H])N(C([H])([H])[H])S(=O)(=O)N1C([H])([H])C([H])([H])C([H])([H])C([H])(C2=NN=C(N2C([H])([H])[H])C([H])([H])[NH+]2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C1([H])[H]",12001476,-0.23
"[H]N(C(=O)C([H])([H])C([H])([H])[NH+](C([H])([H])[H])C([H])([H])C([H])([H])C1([H])OC([H])([H])C([H])([H])C([H])([H])C1([H])[H])C1=C(C([H])=C([H])C([H])=C1C([H])([H])C([H])([H])[H])C([H])([H])[H]",13398633,2.6
"[H]N1C(=NC2=C1C([H])=C([H])C([H])=C2C([H])([H])[H])C1([H])C([H])([H])C([H])([H])N(C(=O)C([H])([H])C([H])([H])N2N=C([H])C([H])=C2C([H])([H])[H])C([H])([H])C1([H])[H]",13440294,2.7
"[H]OC1(C([H])([H])N([H])C(=O)N([H])C2=C([H])C(Cl)=C(C([H])=C2[H])C(=O)OC([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]",13896468,3.34
"[H]C1=NN(C([H])=C1S(=O)(=O)N1C([H])([H])C2([H])C([H])(C1([H])[H])C1([H])C([H])([H])C([H])([H])C2([H])C([H])([H])C1([H])[H])C([H])([H])C([H])([H])[H]",15187260,2.63
"[H]N(C(=O)N1C([H])([H])C([H])([H])N(C2=C(C(=NC([H])=N2)C([H])([H])[H])C([H])([H])[H])C([H])([H])C1([H])[H])C([H])([H])C1=NOC(=N1)C([H])(C([H])([H])[H])C([H])([H])[H]",15356869,0.74
"[H]OC1(C([H])([H])[NH+]2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])[NH+](C([H])([H])C2=C(OC([H])([H])C([H])([H])[H])C([H])=C([H])C([H])=C2[H])C([H])([H])C1([H])[H]",22707668,2.89
"[H]OC1=C([H])C([H])=C([H])C(=C1[H])C1=NC([H])=C(C([H])=C1[H])C1=NC(=NO1)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]",22987934,3.34
"[H]C1=C([H])C(=C([H])C([H])=C1OC([H])([H])[H])C1=NOC(=N1)C([H])([H])[NH+](C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[NH+]1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H]",24854687,2.1
"[H]C1=NC([H])=C([H])C(=C1[H])C([H])([H])[NH+](C([H])([H])C1=C(OC([H])([H])[H])C([H])=C2OC([H])([H])C([H])([H])C([H])([H])OC2=C1[H])C1([H])C([H])([H])C1([H])[H]",25823151,2.63
"[H]C1=C([H])C(OC([H])([H])[H])=C(C([H])=C1[H])N1C([H])([H])C([H])([H])[NH+](C([H])([H])C1([H])[H])C1([H])C([H])([H])N(C([H])([H])C([H])([H])C1([H])[H])S(=O)(=O)C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[H]",26316018,3.67
"[H]C1=C([H])C([H])=C(O1)C([H])([H])[NH+]1C([H])([H])C([H])([H])C([H])([H])C([H])(C(=O)N2C([H])([H])C([H])([H])N(C([H])([H])C2([H])[H])S(=O)(=O)C([H])([H])C([H])([H])[H])C1([H])[H]",27256807,2.02
"[H]OC1([H])C([H])([H])N(C(=O)C([H])([H])N2N=NC3=C(C([H])=C([H])C([H])=C3[H])C2=O)C([H])([H])C([H])([H])C1([H])C1=C(C([H])=C([H])S1)C([H])([H])[H]",27728093,2.27
